"Design#", "Name", "CoD", "CoL", "CoM Rocket", "Performance", "Angle Of Attack (deg)"
51, "Design 51", 0.04246094915366945, -1.7021117034629381, 0.17209640954747207, 1, 50
52, "Design 52", 0.041579767801801434, -1.7392661110178524, 0.17560046323088424, 1, 51
53, "Design 53", 0.039365723931989796, -1.773553274677963, 0.17993288761453138, 1, 52
54, "Design 54", 0.037082956649220275, -1.8040686987957393, 0.18332529731588817, 1, 53
55, "Design 55", 0.036139687665660003, -1.8330335343966477, 0.18607342596939058, 1, 54
56, "Design 56", 0.034005263110811014, -1.8599470535926785, 0.1899153533189398, 1, 55
57, "Design 57", 0.033458129216080046, -1.8857219524990938, 0.19173352641543934, 1, 56
58, "Design 58", 0.029831851201724616, -1.9212759223142379, 0.19667599626068802, 1, 57
59, "Design 59", 0.029573589620454289, -1.9452204145191598, 0.19961960070605858, 1, 58
60, "Design 60", 0.026916796109579033, -1.9732711094288689, 0.20342368478892378, 1, 59
61, "Design 61", 0.025095222714600907, -2.0023995180267504, 0.20838370312015678, 1, 60
62, "Design 62", 0.022831706736751837, -2.0315596445208155, 0.21309980844598977, 1, 61
63, "Design 63", 0.022627929530368598, -2.0486093666350413, 0.21446298221406931, 1, 62
64, "Design 64", 0.020057336303983, -2.076806604210236, 0.21970203338857219, 1, 63
65, "Design 65", 0.018426971168551597, -2.09602806598097, 0.22448612292507789, 1, 64
66, "Design 66", 0.017219059334343454, -2.1204365800996974, 0.22697702325116834, 1, 65
67, "Design 67", 0.014231471504667362, -2.1322828398404026, 0.22957487002601223, 1, 66
68, "Design 68", 0.012289805927018036, -2.1580670618234779, 0.23322089704971821, 1, 67
69, "Design 69", 0.010381873286254334, -2.170606392837525, 0.2359081153165031, 1, 68
70, "Design 70", 0.007676933024559387, -2.184352984278382, 0.2378460850910549, 1, 69
71, "Design 71", 0.0051972759533494171, -2.19355756292458, 0.24137616351075813, 1, 70
72, "Design 72", 0.0026331077527353332, -2.2100256639400566, 0.24471189965720835, 1, 71
73, "Design 73", 0.00035068130026099514, -2.2257599797431853, 0.24763482505176732, 1, 72
74, "Design 74", -0.0011183393905478175, -2.2414013269518795, 0.25137686655170127, 1, 73
75, "Design 75", -0.002591229345822444, -2.2546203073251636, 0.25463820735821546, 1, 74
76, "Design 76", -0.0038846706327327566, -2.2677506528024121, 0.25775404187631074, 1, 75
77, "Design 77", -0.0058093711925062425, -2.2834812406154796, 0.26113741053435185, 1, 76
78, "Design 78", -0.0077984945462514646, -2.2955358079109542, 0.26460662299831977, 1, 77
79, "Design 79", -0.009731741348399086, -2.3149437679859379, 0.26876553691073385, 1, 78
80, "Design 80", -0.01154870708516724, -2.3241252037042064, 0.2715774390398954, 1, 79
81, "Design 81", -0.01361797502114559, -2.3373247748338017, 0.27461597068650806, 1, 80
82, "Design 82", -0.01518190212509565, -2.3556771766487525, 0.2790341877125857, 1, 81
83, "Design 83", -0.017078956422406092, -2.3671024139942256, 0.28178460814624229, 1, 82
84, "Design 84", -0.018329266922997821, -2.3681599450123363, 0.28358288344796251, 1, 83
85, "Design 85", -0.019884982837272011, -2.3894021926807643, 0.28728801111121216, 1, 84
86, "Design 86", -0.021443279319494819, -2.4007319525682913, 0.28960665645582451, 1, 85
87, "Design 87", -0.022737340982330947, -2.4150792125708911, 0.29159209919036155, 1, 86
88, "Design 88", -0.023847470620334963, -2.4271859028320715, 0.29485231150859675, 1, 87
89, "Design 89", -0.024842899330341003, -2.4384280080864129, 0.29716000182237123, 1, 88
90, "Design 90", -0.026283927426894602, -2.431817017621785, 0.29832062196371412, 1, 89
91, "Design 91", -0.027493691725562094, -2.4175867675247646, 0.29880117837206155, 1, 90
92, "Design 92", -0.028434698810143769, -2.4137387072644469, 0.30047943867442012, 1, 91
93, "Design 93", -0.029090343700432651, -2.4050450058906598, 0.30200537758005774, 1, 92
94, "Design 94", -0.030272057201599756, -2.3913271148660549, 0.30501474128452044, 1, 93
95, "Design 95", -0.03091944343786553, -2.3715711248597575, 0.30736712794281884, 1, 94
96, "Design 96", -0.031518731670592229, -2.3476952904410915, 0.3098087945040458, 1, 95
97, "Design 97", -0.031968971599132319, -2.3200075735094274, 0.31290452850021394, 1, 96
98, "Design 98", -0.032993029228292663, -2.27881744041458, 0.31579536405279479, 1, 97
99, "Design 99", -0.033275175354278735, -2.26626853821733, 0.32128276114331833, 1, 98
100, "Design 100", -0.033840294703178286, -2.2432091051977108, 0.32572275288188973, 1, 99
101, "Design 101", -0.034511788120784259, -2.2165346773764343, 0.32965520849000662, 1, 100
102, "Design 102", -0.034657770056276786, -2.2068635094811411, 0.33464717556172147, 1, 101
103, "Design 103", -0.034669073058892427, -2.1864956003961638, 0.33866543821455175, 1, 102
104, "Design 104", -0.035864514107025042, -2.1645813635764344, 0.33961311700066082, 1, 103
105, "Design 105", -0.036153009798254601, -2.1499413445447932, 0.34289573025957837, 1, 104
106, "Design 106", -0.036240640253820337, -2.1373625702989392, 0.34678160535573771, 1, 105
107, "Design 107", -0.036834604134706857, -2.1209801477095716, 0.35008203121389497, 1, 106
108, "Design 108", -0.037570425252496847, -2.1027450285484717, 0.35108281630008253, 1, 107
109, "Design 109", -0.038336755972365549, -2.0865688391405683, 0.35331943670286725, 1, 108
110, "Design 110", -0.038815797102310853, -2.0687503102582334, 0.35552376167362126, 1, 109
111, "Design 111", -0.038983948745826461, -2.0591948181993009, 0.35853642920421958, 1, 110
112, "Design 112", -0.03992712154695828, -2.0376412856614241, 0.35844606904000015, 1, 111
113, "Design 113", -0.040654994014812325, -2.0195561338367369, 0.35896023990701637, 1, 112
114, "Design 114", -0.041098756005988203, -2.0016270202638311, 0.36147110013995654, 1, 113
115, "Design 115", -0.041931578763291087, -1.9821164188075411, 0.36213261196804941, 1, 114
116, "Design 116", -0.042628059834497967, -1.9611627220406098, 0.3627610647920087, 1, 115
117, "Design 117", -0.043701896199391077, -1.9295990894679551, 0.36168666670641647, 1, 116
118, "Design 118", -0.044574510396685169, -1.9091935921233023, 0.36265854809248543, 1, 117
119, "Design 119", -0.045308807618644142, -1.8785203332517766, 0.36251701880081877, 1, 118
120, "Design 120", -0.046581174265856888, -1.8554775535374435, 0.3614167552439978, 1, 119
121, "Design 121", -0.048056378658675319, -1.8214083086426216, 0.3594319095463509, 1, 120
122, "Design 122", -0.049921477924259307, -1.7898613065400613, 0.35762944548295883, 1, 121
123, "Design 123", -0.050747335597560478, -1.7643711929825878, 0.35623135878745621, 1, 122
124, "Design 124", -0.052302640042897072, -1.7302127372983542, 0.35431132818301925, 1, 123
125, "Design 125", -0.053563311405138897, -1.6966289586176817, 0.35194243521756285, 1, 124
126, "Design 126", -0.054875702330087095, -1.6602813506746987, 0.34901093593015392, 1, 125
127, "Design 127", -0.056308404656421632, -1.622104420266105, 0.34560289765646357, 1, 126
128, "Design 128", -0.057499715847834414, -1.5894338984732392, 0.34372183554721791, 1, 127
129, "Design 129", -0.058941742407385533, -1.5568964995237959, 0.33974797986440891, 1, 128
130, "Design 130", -0.060181299246809511, -1.5162780622903294, 0.33636363210448567, 1, 129
131, "Design 131", -0.061318848224911029, -1.4857156946632579, 0.33326496741314932, 1, 130
132, "Design 132", -0.062754439294779085, -1.4473645860636999, 0.32861341001184513, 1, 131
133, "Design 133", -0.064018175211296852, -1.4044940503614498, 0.32403663650787462, 1, 132
134, "Design 134", -0.064995354279806655, -1.3720638074540863, 0.31986463190218373, 1, 133
135, "Design 135", -0.065661356933351983, -1.3379521729572761, 0.31705477818185845, 1, 134
136, "Design 136", -0.066462179147931219, -1.3045521140253695, 0.31337901631653436, 1, 135
137, "Design 137", -0.067257279245445792, -1.2741365894752379, 0.30978457396858844, 1, 136
138, "Design 138", -0.067100658266274898, -1.2638271305523705, 0.31137408128926214, 1, 137
139, "Design 139", -0.067848496921993684, -1.2309146275069756, 0.30679178158963949, 1, 138
140, "Design 140", -0.068567309016677805, -1.1970488653453111, 0.30171738310521967, 1, 139
141, "Design 141", -0.068973778144581277, -1.1683540613110912, 0.29796844670342693, 1, 140
142, "Design 142", -0.069516474678948309, -1.1350389479788083, 0.29302981163260439, 1, 141
143, "Design 143", -0.070228093793583829, -1.1036528364513327, 0.28863722074850734, 1, 142
144, "Design 144", -0.070703125077769949, -1.075618397048117, 0.28395967766436581, 1, 143
145, "Design 145", -0.071303182491124759, -1.0455060153869231, 0.27836429223939824, 1, 144
146, "Design 146", -0.071793145968517186, -1.0151256642239532, 0.27301109723209455, 1, 145
147, "Design 147", -0.072276124597299624, -0.98569140019998169, 0.26735772515772049, 1, 146
148, "Design 148", -0.072520131541784771, -0.95594023537852746, 0.26186633473134929, 1, 147
149, "Design 149", -0.072921742770966302, -0.92539090913882116, 0.25622088263422976, 1, 148
150, "Design 150", -0.073110886996415381, -0.896138573698817, 0.25051013937489675, 1, 149
151, "Design 151", -0.07306458536500593, -0.86716768934788657, 0.24509652431801102, 1, 150
152, "Design 152", -0.073105640289511109, -0.83903723696942012, 0.23894355029996084, 1, 151
153, "Design 153", -0.073008387255291768, -0.8109333843808626, 0.23270706452065276, 1, 152
154, "Design 154", -0.073068832752139712, -0.78228268697783487, 0.22634165586133817, 1, 153
155, "Design 155", -0.072807194133914538, -0.75406145805235103, 0.21997795774201448, 1, 154
156, "Design 156", -0.07278700441250549, -0.72781167905227362, 0.214026564241978, 1, 155
157, "Design 157", -0.072451172207207509, -0.69934177253820295, 0.20691364148293082, 1, 156
158, "Design 158", -0.072423487219817145, -0.67347022723888206, 0.20061993586409177, 1, 157
159, "Design 159", -0.072257503063239026, -0.64504756185604228, 0.19334722804399215, 1, 158
160, "Design 160", -0.072122930876547461, -0.61701010687348012, 0.18612048413566887, 1, 159
161, "Design 161", -0.071871412236649612, -0.59045564808257966, 0.17942771200452112, 1, 160
162, "Design 162", -0.07145393951068843, -0.56302335309889651, 0.17196694817227562, 1, 161
163, "Design 163", -0.071073730538074323, -0.53838279309646775, 0.16598837145178549, 1, 162
164, "Design 164", -0.070685348268890877, -0.51249224522538284, 0.15891313359106862, 1, 163
165, "Design 165", -0.070321054526060273, -0.48457489035508278, 0.15168950642107587, 1, 164
166, "Design 166", -0.06965891663579063, -0.46029026074622126, 0.1456496647777209, 1, 165
167, "Design 167", -0.069087565571809867, -0.43155336455387894, 0.13785226627216871, 1, 166
168, "Design 168", -0.068296486109520702, -0.40389833208181608, 0.13005403381277753, 1, 167
169, "Design 169", -0.067510007322108226, -0.37514898191932577, 0.12189888514850837, 1, 168
170, "Design 170", -0.066666377031442736, -0.34280553003376529, 0.11250388021106224, 1, 169
171, "Design 171", -0.066063006195355128, -0.30926555126489558, 0.10228532966573922, 1, 170
172, "Design 172", -0.065486394022665761, -0.27542003427736833, 0.092162128704236443, 1, 171
173, "Design 173", -0.064840620254087905, -0.2430636972269247, 0.082128923635855222, 1, 172
174, "Design 174", -0.064023006298388835, -0.21129018297605734, 0.072177857303289433, 1, 173
175, "Design 175", -0.063177698843180724, -0.17907832974495788, 0.061897731848319815, 1, 174
176, "Design 176", -0.062635402156463044, -0.14567134245045441, 0.050919014932526874, 1, 175
177, "Design 177", -0.06235504611613632, -0.11408735184766461, 0.040347956510044719, 1, 176
178, "Design 178", -0.062016148612005322, -0.08395386246941354, 0.030025707434708594, 1, 177
179, "Design 179", -0.062059378664263899, -0.054596737597695053, 0.019709832887072041, 1, 178
180, "Design 180", -0.061999493857055332, -0.026658663733083232, 0.0096320386983505431, 1, 179
181, "Design 181", -0.062034271831358734, 4.0692050497115525e-05, -0.00020952455243504947, 1, 180
